date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-04-03,0.4001903021173338,0.48302181853483334,0.3173587856998343,1,0.5190476190476191,1455,8739,FALSE,FALSE,14,14
2020-04-04,0.40358358838951686,0.48338172695044607,0.32378544982858765,1,0.5285714285714286,1343,12345,FALSE,FALSE,14,14
2020-04-05,0.4148719013426251,0.4927763616221671,0.3369674410630831,1,0.5380952380952381,1172,2632,FALSE,FALSE,14,14
2020-04-06,0.43552544321653625,0.5148891620730295,0.35616172436004306,1,0.5476190476190476,1003,1950,FALSE,FALSE,14,14
2020-04-07,0.46708843739694383,0.5512205138237888,0.3829563609700989,1,0.5571428571428572,949,9433,FALSE,FALSE,14,14
2020-04-08,0.5068840735067398,0.5982202707210911,0.4155478762923885,1,0.5666666666666667,852,3797,TRUE,FALSE,14,14
2020-04-09,0.5513368535838564,0.6487012271722723,0.4539724799954406,1,0.5761904761904761,785,3457,TRUE,FALSE,14,14
2020-04-10,0.5984047949816396,0.6977579440386673,0.4990516459246119,1,0.5857142857142856,696,2567,TRUE,FALSE,14,14
2020-04-11,0.6412915153742066,0.7385309926444541,0.5440520381039591,1,0.5952380952380952,676,2458,TRUE,FALSE,14,14
2020-04-12,0.6687576357338713,0.7616001641952775,0.575915107272465,1,0.6047619047619047,627,1472,TRUE,FALSE,14,14
2020-04-13,0.6754725814721041,0.7652217287603601,0.5857234341838481,1,0.6142857142857142,502,879,TRUE,FALSE,14,14
2020-04-14,0.6696782348351316,0.7600533821144921,0.579303087555771,1,0.6238095238095238,534,2454,TRUE,FALSE,14,14
2020-04-15,0.665006184342219,0.7571421991442101,0.572870169540228,1,0.6333333333333333,483,2912,TRUE,FALSE,14,14
2020-04-16,0.6660471688986409,0.759201298817226,0.5728930389800558,1,0.6428571428571428,478,1912,TRUE,FALSE,14,14
2020-04-17,0.6705990592954367,0.7638905209025753,0.5773075976882982,1,0.6523809523809523,421,1650,TRUE,FALSE,14,14
2020-04-18,0.6761287248218361,0.768116337384791,0.5841411122588811,1,0.6619047619047619,368,1698,TRUE,FALSE,14,14
2020-04-19,0.6836205388574995,0.7746792022774995,0.5925618754374995,1,0.6714285714285714,367,802,TRUE,FALSE,14,14
2020-04-20,0.6903563011193362,0.7834313226527058,0.5972812795859667,1,0.6809523809523809,335,477,TRUE,FALSE,14,14
2020-04-21,0.6920659019285249,0.7882721816291116,0.5958596222279382,1,0.6904761904761905,320,941,TRUE,FALSE,14,14
2020-04-22,0.6877682637252355,0.7863453077647947,0.5891912196856762,1,0.7,291,843,TRUE,FALSE,14,14
2020-04-23,0.6801954221515535,0.7795385358906,0.580852308412507,1,0.7,289,707,TRUE,FALSE,14,14
2020-04-24,0.6721149894577305,0.7691204758643858,0.5751095030510752,1,0.7,247,740,TRUE,FALSE,14,14
2020-04-25,0.6635132052292712,0.7555839619259098,0.5714424485326325,1,0.7,240,1136,TRUE,FALSE,14,14
2020-04-26,0.6548746053340346,0.7431542357676468,0.5665949749004224,1,0.7,256,536,TRUE,FALSE,14,14
2020-04-27,0.6497194438912581,0.7380376489625329,0.5614012388199834,1,0.7,203,177,TRUE,FALSE,14,14
2020-04-28,0.6528181699082074,0.7453115487289299,0.5603247910874849,1,0.7,234,856,TRUE,FALSE,14,14
2020-04-29,0.6657742873902737,0.7641749397731119,0.5673736350074354,1,0.7,166,498,TRUE,FALSE,14,14
2020-04-30,0.6861047679739191,0.7877657110518741,0.584443824895964,1,0.7,154,352,TRUE,FALSE,14,14
2020-05-01,0.7103594339713861,0.8105851668557922,0.6101337010869801,1,0.7,179,399,TRUE,FALSE,14,14
2020-05-02,0.7361569625989224,0.8315515778744522,0.6407623473233925,1,0.7363636363636363,138,464,TRUE,FALSE,14,14
2020-05-03,0.7608719323959978,0.8515833480783577,0.670160516713638,1,0.7727272727272727,159,232,TRUE,FALSE,14,14
2020-05-04,0.7824621859311365,0.8722730463671593,0.6926513254951137,1,0.8090909090909091,142,121,TRUE,FALSE,14,14
2020-05-05,0.8033673427024496,0.8972795212251938,0.7094551641797053,1,0.8454545454545455,160,423,TRUE,FALSE,14,14
2020-05-06,0.8298120636755968,0.9306956377768172,0.7289284895743764,1,0.8818181818181818,129,350,TRUE,FALSE,14,14
2020-05-07,0.8637347038342261,0.9709913162739989,0.7564780913944533,1,0.9181818181818182,136,238,TRUE,FALSE,14,14
2020-05-08,0.8983863430348716,1.0087262911017678,0.7880463949679755,1,0.9545454545454546,152,286,TRUE,FALSE,14,14
2020-05-09,0.9249094033511583,1.0355237957828165,0.8142950109195001,1,0.990909090909091,161,157,TRUE,FALSE,14,14
2020-05-10,0.9417720890534759,1.0512889736306934,0.8322552044762582,1,1.0272727272727273,145,172,TRUE,FALSE,14,14
2020-05-11,0.952300744125734,1.059114613510098,0.84548687474137,1,1.0636363636363637,149,108,FALSE,FALSE,14,14
2020-05-12,0.9607488313186372,1.06420876014625,0.8572889024910244,1,1.1,144,166,FALSE,FALSE,14,14
2020-05-13,0.9693221047058396,1.0712506960851278,0.8673935133265513,1,1.1,161,140,FALSE,FALSE,14,14
2020-05-14,0.9806509388492243,1.0832269484424613,0.8780749292559873,1,1.1,162,312,FALSE,FALSE,14,14
2020-05-15,0.995935785368017,1.100500328438708,0.8913712422973259,1,1.1,165,193,TRUE,FALSE,14,14
2020-05-16,1.0139573520580478,1.1205969087292877,0.9073177953868078,1,1.1,152,243,TRUE,TRUE,14,14
2020-05-17,1.0324966441248487,1.1402984940567,0.9246947941929973,1,1.1,182,85,TRUE,TRUE,14,14
2020-05-18,1.051469043978827,1.1598972417913362,0.9430408461663177,1,1.1,173,58,TRUE,TRUE,14,14
