date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-03-03,1.155777417325778,1.3669435766953368,0.944611257956219,1364.6530045759296,200.91713843280073,93,1,1033,1176,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-04,1.1729155005087812,1.390715961067148,0.9551150399504145,1389.2769582830963,211.38941501552006,93,1,1179,1378,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-05,1.1790674766431344,1.3993329125253866,0.9588020407608823,1414.2581367585174,221.15682219638606,93,1,1076,968,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-06,1.1765115380013906,1.3934535164982773,0.9595695595045041,1437.0974700104564,229.62161568520472,93,1,1096,1131,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-07,1.1663819866983636,1.3725487358394253,0.9602152375573019,1450.8692078145496,232.01182016707895,93,1,1145,1279,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-08,1.147411485677066,1.3377919450459013,0.9570310263082309,1455.2755944133403,231.53758928265697,93,1,1059,738,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-09,1.1209435364011013,1.298084136302324,0.9438029364998786,1454.4963069451626,233.58793142874669,93,1,1125,565,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-10,1.0911658954664794,1.2611156722629202,0.9212161186700384,1450.9927904594977,234.05921774409802,93,1,1178,1067,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-11,1.0601351886443047,1.2254283287508079,0.8948420485378014,1442.497078090595,228.70900492196265,93,1,1091,1416,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-12,1.0273842234339297,1.188404383660769,0.8663640632070904,1426.9304501203255,215.59557245940394,93,1,1116,1435,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-13,0.9944016467318068,1.1525076394336005,0.836295654030013,1407.9495629610692,199.9404637650009,93,1,1136,1499,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-14,0.9643381512568303,1.1196618979827715,0.8090144045308891,1387.4297145594132,182.44862956461657,93,1,1139,1687,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-15,0.9383686493373785,1.0906543204239725,0.7860829782507847,1361.0206375024097,160.9426920013852,93,1,1125,766,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-16,0.9160065622458708,1.0686495511301164,0.7633635733616253,1332.984559996894,142.95233372579298,93,1,1094,490,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-17,0.8979073155979399,1.0569228114013207,0.738891819794559,1309.768684849576,134.20487547409908,93,1,1103,1740,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-18,0.8871681263576833,1.056335715925528,0.7180005367898386,1290.549217324587,133.58091060836247,93,1,1124,2339,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-19,0.8858906368696805,1.066115284364304,0.7056659893750569,1274.5318733842569,139.85315408235573,93,1,1127,2240,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-20,0.891385560019895,1.0805796121963755,0.7021915078434144,1260.5938067460345,150.133038676207,93,1,1078,1798,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-21,0.8994135342917902,1.0909041335686582,0.7079229350149221,1247.187791086094,159.21411076987155,93,1,1086,869,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-22,0.9067691264949035,1.0931729421111158,0.7203653108786912,1233.005615965464,169.99873043276037,93,1,1127,642,TRUE,FALSE,FALSE,1,5000,1_5000
2020-03-23,0.9136111755612352,1.0923670692141292,0.7348552819083413,1220.340877112662,183.0816093036762,93,1,990,824,TRUE,FALSE,FALSE,1,5000,1_5000
