Re,infections,observations,date,replicate
1.3,1234,224,2020-08-03,2
1.3,1328,645,2020-08-04,2
1.3,1356,602,2020-08-05,2
1.3,1445,658,2020-08-06,2
1.3,1560,760,2020-08-07,2
1.3,1612,563,2020-08-08,2
1.3,1732,369,2020-08-09,2
1.280952380952381,1728,393,2020-08-10,2
1.2619047619047619,1869,1106,2020-08-11,2
1.2428571428571429,1995,1044,2020-08-12,2
1.223809523809524,1979,1239,2020-08-13,2
1.2047619047619047,2105,952,2020-08-14,2
1.1857142857142857,2212,631,2020-08-15,2
1.1666666666666667,2210,325,2020-08-16,2
1.1476190476190475,2213,551,2020-08-17,2
1.1285714285714286,2322,1145,2020-08-18,2
1.1095238095238096,2357,902,2020-08-19,2
1.0904761904761906,2319,1337,2020-08-20,2
1.0714285714285714,2378,1444,2020-08-21,2
1.0523809523809524,2405,1504,2020-08-22,2
1.0333333333333332,2311,855,2020-08-23,2
1.0142857142857142,2307,636,2020-08-24,2
0.9952380952380953,2304,2960,2020-08-25,2
0.9761904761904763,2292,1693,2020-08-26,2
0.9571428571428572,2163,1650,2020-08-27,2
0.9380952380952381,2146,1296,2020-08-28,2
0.9190476190476191,2116,1308,2020-08-29,2
0.9,2058,1153,2020-08-30,2
0.9,1984,555,2020-08-31,2
0.9,1976,4179,2020-09-01,2
0.9,1956,2182,2020-09-02,2
0.9,1855,3189,2020-09-03,2
0.9,1881,2861,2020-09-04,2
0.9,1801,1640,2020-09-05,2
0.9,1685,1041,2020-09-06,2
0.9,1753,1331,2020-09-07,2
0.9,1715,3331,2020-09-08,2
0.9,1642,1795,2020-09-09,2
0.9,1597,2616,2020-09-10,2
0.9,1537,1591,2020-09-11,2
0.9,1587,2623,2020-09-12,2
0.9,1464,1503,2020-09-13,2
0.9,1423,761,2020-09-14,2
0.9,1464,3469,2020-09-15,2
0.9,1409,2374,2020-09-16,2
0.9,1350,2745,2020-09-17,2
0.9,1307,2983,2020-09-18,2
0.9,1328,2239,2020-09-19,2
0.9,1218,956,2020-09-20,2
0.9,1191,740,2020-09-21,2
0.9,1257,2862,2020-09-22,2
0.9,1177,2172,2020-09-23,2
0.9,1164,1842,2020-09-24,2
0.9,1170,2394,2020-09-25,2
0.9,1142,1963,2020-09-26,2
0.9,1102,1250,2020-09-27,2
0.9,1055,808,2020-09-28,2
0.9,1025,3569,2020-09-29,2
0.9,1050,1713,2020-09-30,2
0.9,992,1895,2020-10-01,2
0.9,1036,1610,2020-10-02,2
0.9,993,2431,2020-10-03,2
0.9,959,786,2020-10-04,2
0.9,891,753,2020-10-05,2
0.9,920,2504,2020-10-06,2
0.9,861,828,2020-10-07,2
0.9,862,2110,2020-10-08,2
0.9095238095238095,854,1584,2020-10-09,2
0.9190476190476191,828,1174,2020-10-10,2
0.9285714285714286,852,824,2020-10-11,2
0.9380952380952381,829,679,2020-10-12,2
0.9476190476190477,803,1675,2020-10-13,2
0.9571428571428572,774,1195,2020-10-14,2
0.9666666666666667,831,934,2020-10-15,2
0.9761904761904763,810,1367,2020-10-16,2
0.9857142857142858,760,1320,2020-10-17,2
0.9952380952380953,793,524,2020-10-18,2
1.0047619047619047,807,457,2020-10-19,2
1.0142857142857142,831,1799,2020-10-20,2
1.023809523809524,822,1145,2020-10-21,2
1.0333333333333334,812,902,2020-10-22,2
1.042857142857143,881,1104,2020-10-23,2
1.0523809523809524,838,770,2020-10-24,2
1.061904761904762,851,731,2020-10-25,2
1.0714285714285716,926,548,2020-10-26,2
1.080952380952381,896,1400,2020-10-27,2
1.0904761904761906,960,772,2020-10-28,2
1.1,993,1069,2020-10-29,2
1.1,1009,1134,2020-10-30,2
1.1,1029,926,2020-10-31,2
1.1,972,506,2020-11-01,2
1.1,1103,437,2020-11-02,2
1.1,1026,1137,2020-11-03,2
1.1,1145,1114,2020-11-04,2
1.1,1132,1344,2020-11-05,2
1.1,1145,1242,2020-11-06,2
1.1,1168,838,2020-11-07,2
1.1,1230,432,2020-11-08,2
1.1,1179,494,2020-11-09,2
1.1,1274,2026,2020-11-10,2
1.1,1317,1031,2020-11-11,2
1.1,1273,975,2020-11-12,2
1.1,1315,989,2020-11-13,2
1.1,1388,1124,2020-11-14,2
1.1,1371,547,2020-11-15,2
1.1,1375,433,2020-11-16,2
1.1,1375,1662,2020-11-17,2
1.0857142857142859,1449,995,2020-11-18,2
1.0714285714285716,1446,1121,2020-11-19,2
1.0571428571428572,1456,1024,2020-11-20,2
1.042857142857143,1438,750,2020-11-21,2
1.0285714285714287,1453,1006,2020-11-22,2
1.0142857142857145,1517,550,2020-11-23,2
1,1490,2567,2020-11-24,2
0.9857142857142858,1405,1232,2020-11-25,2
0.9714285714285715,1442,1530,2020-11-26,2
0.9571428571428572,1397,1260,2020-11-27,2
0.942857142857143,1336,1625,2020-11-28,2
0.9285714285714286,1301,592,2020-11-29,2
0.9142857142857144,1284,593,2020-11-30,2
0.9000000000000001,1293,2262,2020-12-01,2
0.8857142857142858,1235,1719,2020-12-02,2
0.8714285714285714,1209,1781,2020-12-03,2
0.8571428571428572,1051,1366,2020-12-04,2
0.842857142857143,1044,1097,2020-12-05,2
0.8285714285714286,1045,785,2020-12-06,2
0.8142857142857143,931,878,2020-12-07,2
0.8,923,3019,2020-12-08,2
0.8,886,2047,2020-12-09,2
0.8,830,1674,2020-12-10,2
0.8,770,1122,2020-12-11,2
0.8,779,1708,2020-12-12,2
0.8,752,798,2020-12-13,2
0.8,661,464,2020-12-14,2
0.8,647,2123,2020-12-15,2
0.8,635,1708,2020-12-16,2
0.8,625,1623,2020-12-17,2
0.8,613,1857,2020-12-18,2
0.8,573,1286,2020-12-19,2
0.8,545,574,2020-12-20,2
0.8,490,794,2020-12-21,2
